"dict_id","dict_name","dict_type","status","create_by","create_time","update_by","update_time","remark"
1,用户性别,sys_user_sex,1,admin,"2024-06-13 16:06:35","","",用户性别列表
2,菜单状态,sys_show_hide,1,admin,"2024-06-13 16:06:35","","",菜单状态列表
3,系统开关,sys_normal_disable,1,admin,"2024-06-13 16:06:35","","",系统开关列表
6,系统是否,sys_yes_no,1,admin,"2024-06-13 16:06:35","","",系统是否列表
7,通知类型,sys_notice_type,1,admin,"2024-06-13 16:06:35","","",通知类型列表
8,通知状态,sys_notice_status,1,admin,"2024-06-13 16:06:35","","",通知状态列表
9,操作类型,sys_oper_type,1,admin,"2024-06-13 16:06:35","","",操作类型列表
10,系统状态,sys_common_status,1,admin,"2024-06-13 16:06:36","","",登录状态列表
1812692454547488770,企业类型,merchant_type,1,admin,"2024-07-15 11:35:34",admin,"2024-07-16 17:41:32",企业类型
1813152108564373505,入库状态,wms_receipt_status,1,admin,"2024-07-16 18:02:04",admin,"2024-07-16 18:02:17",入库状态
1814219082624778242,入库类型,wms_receipt_type,1,admin,"2024-07-19 16:41:51",admin,"2024-07-19 16:41:51",""
1818848671749709825,出库状态,wms_shipment_status,1,admin,"2024-08-01 11:18:11",admin,"2024-08-01 11:18:11",""
1818848738502057985,出库类型,wms_shipment_type,1,admin,"2024-08-01 11:18:26",admin,"2024-08-01 11:18:26",""
1821066855638630402,库存记录操作类型,wms_inventory_history_type,1,admin,"2024-08-07 14:12:27",admin,"2024-08-07 14:12:27",""
1822820566366982146,移库状态,wms_movement_status,1,admin,"2024-08-12 10:21:04",admin,"2024-08-12 10:21:04",""
1823182238898274306,盘库状态,wms_check_status,1,admin,"2024-08-13 10:18:14",admin,"2024-08-13 10:18:14",""
