"menu_id","menu_name","parent_id","order_num","path","component","query_param","is_frame","is_cache","menu_type","visible","status","perms","icon","create_by","create_time","update_by","update_time","remark"
1,系统管理,1061,110,system,"","",0,0,M,1,1,"",system,admin,"2024-06-13 16:06:26",admin,"2025-06-10 11:04:44",系统管理目录
2,系统监控,0,120,monitor,"","",0,0,M,1,1,"",monitor,admin,"2024-06-13 16:06:26",admin,"2024-08-20 13:45:57",系统监控目录
100,用户管理,1,1,user,system/user/index,"",0,0,C,1,1,system:user:list,user,admin,"2024-06-13 16:06:26",admin,"2025-04-04 17:03:08",用户管理菜单
101,角色管理,1,2,role,system/role/index,"",0,0,C,1,1,system:role:list,peoples,admin,"2024-06-13 16:06:26","","",角色管理菜单
102,菜单管理,1,3,menu,system/menu/index,"",0,0,C,1,1,system:menu:list,tree-table,admin,"2024-06-13 16:06:26","","",菜单管理菜单
103,部门管理,1,4,dept,system/dept/index,"",0,0,C,1,1,system:dept:list,tree,admin,"2024-06-13 16:06:26","","",部门管理菜单
104,岗位管理,1,5,post,system/post/index,"",0,0,C,1,1,system:post:list,post,admin,"2024-06-13 16:06:26","","",岗位管理菜单
105,字典管理,1,6,dict,system/dict/index,"",0,0,C,1,1,system:dict:list,dict,admin,"2024-06-13 16:06:26","","",字典管理菜单
106,参数设置,1,7,config,system/config/index,"",0,0,C,1,1,system:config:list,edit,admin,"2024-06-13 16:06:26","","",参数设置菜单
107,通知公告,1,8,notice,system/notice/index,"",0,0,C,1,1,system:notice:list,message,admin,"2024-06-13 16:06:26","","",通知公告菜单
108,日志管理,1061,140,log,"","",0,0,M,1,1,"",log,admin,"2024-06-13 16:06:27",admin,"2025-06-10 11:05:08",日志管理菜单
109,在线用户,2,1,online,monitor/online/index,"",0,0,C,1,1,monitor:online:list,online,admin,"2024-06-13 16:06:27","","",在线用户菜单
112,缓存列表,2,6,cacheList,monitor/cache/list,"",0,0,C,1,1,monitor:cache:list,redis-list,admin,"2024-06-13 16:06:27","","",缓存列表菜单
113,缓存监控,2,5,cache,monitor/cache/index,"",0,0,C,1,1,monitor:cache:list,redis,admin,"2024-06-13 16:06:27","","",缓存监控菜单
115,代码生成,0,130,gen,tool/gen/index,"",0,0,C,0,1,tool:gen:list,code,admin,"2024-06-13 16:06:27",admin,"2025-06-10 11:04:58",代码生成菜单
500,操作日志,108,1,operlog,monitor/operlog/index,"",0,0,C,1,1,monitor:operlog:list,form,admin,"2024-06-13 16:06:27","","",操作日志菜单
501,登录日志,108,2,logininfor,monitor/logininfor/index,"",0,0,C,1,1,monitor:logininfor:list,logininfor,admin,"2024-06-13 16:06:27","","",登录日志菜单
1001,用户查询,100,1,"","","",0,0,F,1,1,system:user:query,#,admin,"2024-06-13 16:06:27","","",""
1002,用户新增,100,2,"","","",0,0,F,1,1,system:user:add,#,admin,"2024-06-13 16:06:27","","",""
1003,用户修改,100,3,"","","",0,0,F,1,1,system:user:edit,#,admin,"2024-06-13 16:06:27","","",""
1004,用户删除,100,4,"","","",0,0,F,1,1,system:user:remove,#,admin,"2024-06-13 16:06:27","","",""
1005,用户导出,100,5,"","","",0,0,F,1,1,system:user:export,#,admin,"2024-06-13 16:06:27","","",""
1006,用户导入,100,6,"","","",0,0,F,1,1,system:user:import,#,admin,"2024-06-13 16:06:27","","",""
1007,重置密码,100,7,"","","",0,0,F,1,1,system:user:resetPwd,#,admin,"2024-06-13 16:06:27","","",""
1008,角色查询,101,1,"","","",0,0,F,1,1,system:role:query,#,admin,"2024-06-13 16:06:27","","",""
1009,角色新增,101,2,"","","",0,0,F,1,1,system:role:add,#,admin,"2024-06-13 16:06:27","","",""
1010,角色修改,101,3,"","","",0,0,F,1,1,system:role:edit,#,admin,"2024-06-13 16:06:28","","",""
1011,角色删除,101,4,"","","",0,0,F,1,1,system:role:remove,#,admin,"2024-06-13 16:06:28","","",""
1012,角色导出,101,5,"","","",0,0,F,1,1,system:role:export,#,admin,"2024-06-13 16:06:28","","",""
1013,菜单查询,102,1,"","","",0,0,F,1,1,system:menu:query,#,admin,"2024-06-13 16:06:28","","",""
1014,菜单新增,102,2,"","","",0,0,F,1,1,system:menu:add,#,admin,"2024-06-13 16:06:28","","",""
1015,菜单修改,102,3,"","","",0,0,F,1,1,system:menu:edit,#,admin,"2024-06-13 16:06:28","","",""
1016,菜单删除,102,4,"","","",0,0,F,1,1,system:menu:remove,#,admin,"2024-06-13 16:06:28","","",""
1017,部门查询,103,1,"","","",0,0,F,1,1,system:dept:query,#,admin,"2024-06-13 16:06:28","","",""
1018,部门新增,103,2,"","","",0,0,F,1,1,system:dept:add,#,admin,"2024-06-13 16:06:28","","",""
1019,部门修改,103,3,"","","",0,0,F,1,1,system:dept:edit,#,admin,"2024-06-13 16:06:28","","",""
1020,部门删除,103,4,"","","",0,0,F,1,1,system:dept:remove,#,admin,"2024-06-13 16:06:28","","",""
1021,岗位查询,104,1,"","","",0,0,F,1,1,system:post:query,#,admin,"2024-06-13 16:06:28","","",""
1022,岗位新增,104,2,"","","",0,0,F,1,1,system:post:add,#,admin,"2024-06-13 16:06:28","","",""
1023,岗位修改,104,3,"","","",0,0,F,1,1,system:post:edit,#,admin,"2024-06-13 16:06:28","","",""
1024,岗位删除,104,4,"","","",0,0,F,1,1,system:post:remove,#,admin,"2024-06-13 16:06:28","","",""
1025,岗位导出,104,5,"","","",0,0,F,1,1,system:post:export,#,admin,"2024-06-13 16:06:28","","",""
1026,字典查询,105,1,#,"","",0,0,F,1,1,system:dict:query,#,admin,"2024-06-13 16:06:28","","",""
1027,字典新增,105,2,#,"","",0,0,F,1,1,system:dict:add,#,admin,"2024-06-13 16:06:28","","",""
1028,字典修改,105,3,#,"","",0,0,F,1,1,system:dict:edit,#,admin,"2024-06-13 16:06:28","","",""
1029,字典删除,105,4,#,"","",0,0,F,1,1,system:dict:remove,#,admin,"2024-06-13 16:06:28","","",""
1030,字典导出,105,5,#,"","",0,0,F,1,1,system:dict:export,#,admin,"2024-06-13 16:06:29","","",""
1031,参数查询,106,1,#,"","",0,0,F,1,1,system:config:query,#,admin,"2024-06-13 16:06:29","","",""
1032,参数新增,106,2,#,"","",0,0,F,1,1,system:config:add,#,admin,"2024-06-13 16:06:29","","",""
1033,参数修改,106,3,#,"","",0,0,F,1,1,system:config:edit,#,admin,"2024-06-13 16:06:29","","",""
1034,参数删除,106,4,#,"","",0,0,F,1,1,system:config:remove,#,admin,"2024-06-13 16:06:29","","",""
1035,参数导出,106,5,#,"","",0,0,F,1,1,system:config:export,#,admin,"2024-06-13 16:06:29","","",""
1036,公告查询,107,1,#,"","",0,0,F,1,1,system:notice:query,#,admin,"2024-06-13 16:06:29","","",""
1037,公告新增,107,2,#,"","",0,0,F,1,1,system:notice:add,#,admin,"2024-06-13 16:06:29","","",""
1038,公告修改,107,3,#,"","",0,0,F,1,1,system:notice:edit,#,admin,"2024-06-13 16:06:29","","",""
1039,公告删除,107,4,#,"","",0,0,F,1,1,system:notice:remove,#,admin,"2024-06-13 16:06:29","","",""
1040,操作查询,500,1,#,"","",0,0,F,1,1,monitor:operlog:query,#,admin,"2024-06-13 16:06:29","","",""
1041,操作删除,500,2,#,"","",0,0,F,1,1,monitor:operlog:remove,#,admin,"2024-06-13 16:06:29","","",""
1042,日志导出,500,4,#,"","",0,0,F,1,1,monitor:operlog:export,#,admin,"2024-06-13 16:06:29","","",""
1043,登录查询,501,1,#,"","",0,0,F,1,1,monitor:logininfor:query,#,admin,"2024-06-13 16:06:29","","",""
1044,登录删除,501,2,#,"","",0,0,F,1,1,monitor:logininfor:remove,#,admin,"2024-06-13 16:06:29","","",""
1045,日志导出,501,3,#,"","",0,0,F,1,1,monitor:logininfor:export,#,admin,"2024-06-13 16:06:29","","",""
1046,在线查询,109,1,#,"","",0,0,F,1,1,monitor:online:query,#,admin,"2024-06-13 16:06:29","","",""
1047,批量强退,109,2,#,"","",0,0,F,1,1,monitor:online:batchLogout,#,admin,"2024-06-13 16:06:29","","",""
1048,单条强退,109,3,#,"","",0,0,F,1,1,monitor:online:forceLogout,#,admin,"2024-06-13 16:06:30","","",""
1050,账户解锁,501,4,#,"","",0,0,F,1,1,monitor:logininfor:unlock,#,admin,"2024-06-13 16:06:29","","",""
1055,生成查询,115,1,#,"","",0,0,F,1,1,tool:gen:query,#,admin,"2024-06-13 16:06:30","","",""
1056,生成修改,115,2,#,"","",0,0,F,1,1,tool:gen:edit,#,admin,"2024-06-13 16:06:30","","",""
1057,生成删除,115,3,#,"","",0,0,F,1,1,tool:gen:remove,#,admin,"2024-06-13 16:06:30","","",""
1058,导入代码,115,2,#,"","",0,0,F,1,1,tool:gen:import,#,admin,"2024-06-13 16:06:30","","",""
1059,预览代码,115,4,#,"","",0,0,F,1,1,tool:gen:preview,#,admin,"2024-06-13 16:06:30","","",""
1060,生成代码,115,5,#,"","",0,0,F,1,1,tool:gen:code,#,admin,"2024-06-13 16:06:30","","",""
1061,基础信息管理,0,100,basic-info,"","",0,0,M,1,1,"",BorderOuterOutlined,admin,"2024-07-04 15:01:48",admin,"2025-06-11 17:51:59",""
1809059968309743618,往来单位,1909128585102680066,1,merchant,wms/basic/merchant/index,"",0,0,C,1,1,wms:merchant:list,documentation,admin,"2024-07-05 11:58:12",admin,"2025-06-11 17:51:29",往来单位菜单
1809059968309743619,往来单位查询,1809059968309743618,1,#,"","",0,0,F,1,1,wms:merchant:list,#,admin,"2024-07-05 11:58:12",admin,"2024-08-30 10:43:54",""
1809059968309743621,往来单位修改,1809059968309743618,3,#,"","",0,0,F,1,1,wms:merchant:edit,#,admin,"2024-07-05 11:58:12","","",""
1813458070128599041,仓库/库区,1909128585102680066,2,warehouse,wms/basic/warehouse/index,"",0,0,C,1,1,wms:warehouse:list,documentation,admin,"2024-07-17 14:17:51",admin,"2025-06-11 17:51:40",""
1813820131794837506,商品管理,1909128585102680066,4,item,wms/basic/item/index,"",0,0,C,1,1,wms:item:list,documentation,admin,"2024-07-18 14:16:33",admin,"2025-06-11 17:53:47",""
1815207165755183105,编辑入库单,1818466281474822145,1000,receiptOrderEdit,wms/order/receipt/edit,"",0,0,F,0,1,wms:receipt:edit,#,admin,"2024-07-22 10:08:08",admin,"2025-06-10 10:30:07",""
1818123963605549057,品牌管理,1909128585102680066,3,itemBrand,wms/basic/itemBrand/index,"",0,0,C,1,1,wms:itemBrand:list,documentation,admin,"2024-07-30 11:18:27",admin,"2025-06-11 17:51:49",""
1818466281474822145,入库,1909128585102680065,20,receiptOrder,wms/order/receipt/index,"",0,0,C,1,1,wms:receipt:all,exit-fullscreen,admin,"2024-07-31 09:58:42",admin,"2025-04-07 14:19:25",""
1818854933803638785,出库,1909128585102680065,30,shipmentOrder,wms/order/shipment/index,"",0,0,C,1,1,wms:shipment:all,fullscreen,admin,"2024-08-01 11:43:04",admin,"2025-04-07 14:19:40",""
1818855673632727042,编辑出库单,1818854933803638785,1000,shipmentOrderEdit,wms/order/shipment/edit,"",0,0,F,0,1,wms:shipment:edit,#,admin,"2024-08-01 11:46:00",admin,"2025-06-10 10:29:50",""
1820729144067321858,库存统计,1909128585102680065,0,inventory,wms/inventory/statistic,"",0,0,C,1,1,wms:inventory:all,DotChartOutlined,admin,"2024-08-06 15:50:30",admin,"2025-04-07 14:18:51",""
1821075355068559361,库存记录,1909128585102680065,3,inventoryHistory,wms/inventory/history,"",0,0,C,1,1,wms:inventoryHistory:all,list,admin,"2024-08-07 14:46:13",admin,"2025-04-07 14:19:14",""
1822820194307051521,移库,1909128585102680065,40,movementOrder,wms/order/movement/index,"",0,0,C,1,1,wms:movement:all,drag,admin,"2024-08-12 10:19:35",admin,"2025-04-07 14:19:48",""
1822862323595145218,编辑移库单,1822820194307051521,1000,movementOrderEdit,wms/order/movement/edit,"",0,0,F,0,1,wms:movement:edit,#,admin,"2024-08-12 13:07:00",admin,"2025-06-10 10:29:38",""
1823187248797270018,盘库,1909128585102680065,50,checkOrder,wms/order/check/index,"",0,0,C,1,1,wms:check:all,example,admin,"2024-08-13 10:38:08",admin,"2025-04-07 14:19:56",""
1823190638784757762,编辑盘库单,1823187248797270018,1000,checkOrderEdit,wms/order/check/edit,"",0,0,C,0,1,wms:check:edit,#,admin,"2024-08-13 10:51:36",admin,"2025-06-10 10:29:18",""
1825769009480142850,库存明细,1909128585102680065,1,inventoryDetail,wms/inventory/detail,"",0,0,C,1,1,wms:inventoryDetail:all,table,admin,"2024-08-20 13:37:08",admin,"2025-04-07 14:19:05",""
1829349433573822466,仓库库区查询,1813458070128599041,1,"","","",0,0,F,1,1,wms:warehouse:list,#,admin,"2024-08-30 10:44:27",admin,"2024-08-30 10:44:27",""
1829350022131142658,仓库库区编辑,1813458070128599041,2,"","","",0,0,F,1,1,wms:warehouse:edit,#,admin,"2024-08-30 10:46:48",admin,"2024-08-30 10:46:48",""
1829350164603260929,品牌查询,1818123963605549057,1,"","","",0,0,F,1,1,wms:itemBrand:list,#,admin,"2024-08-30 10:47:22",admin,"2024-08-30 10:47:22",""
1829350944311791617,品牌编辑,1818123963605549057,2,"","","",0,0,F,1,1,wms:itemBrand:edit,#,admin,"2024-08-30 10:50:27",admin,"2024-08-30 10:50:27",""
